"pair_id","Description","Direction","Origin","Destination","Distance"
10213,"395NB-MM011.0 (u1777) to 90WB-MM089.7 (u1761)","NB","I-395 NB before I-90 (u1774)","I-90 WB after on-ramps (I-395/I-290) (u1761)",3
10214,"I-290 SB before I-90 (u1765) TO I-90 EB after on-ramps (Rte. 122) (u1770)","SB","I-290 SB before I-90 (u1765)","I-90 EB after on-ramps (Rte. 122) (u1770)",9
10215,"I-290 SB before I-90 (u1765) to I-395 NB before I-90 (u1774)","SB","I-290 SB before I-90 (u1765)","I-395 NB before I-90 (u1774)",1.4
10216,"I-395 NB before I-90 (u1774) to I-290 SB before I-90 (u1765)","NB","I-395 NB before I-90 (u1774)","I-290 SB before I-90 (u1765)",1.4
10238,"I-90 EB after on-ramps (Rte. 122) (u1770) TO I-90 EB before on-ramps (I-495)","EB","I-90 EB after on-ramps (Rte. 122) (u1770)","I-90 EB before on-ramps (I-495)",7.9
10239,"90EB-MM105.2 (u1760) to 495NB-MM057.2 (u1763)","SB","I-90 EB before on-ramps (I-495)","I-495 NB before I-90 (u1763)",1.5
10240,"90EB-MM105.2 (u1760) to 495SB-MM059.9 (u1781)","NB","I-90 EB before on-ramps (I-495)","I-495 SB before Rte. 9 (u1781)",3.4
10245,"3NB-MM038.0(u1768) to 2A (u499)","NB","Rte 3 NB south Rte. 18 of ramps","Rt. 3 NB before I-93 in Braintree (u499) <2A>",4.5
10356,"I-90 WB in boat section TO I-90 WB after on-ramps (Beacon Park)","WB","I-90 WB in boat section","I-90 WB after on-ramps (Beacon Park)",5.2
10357,"I-90 WB after on-ramps (Beacon Park) TO I-90 WB after on-ramp (Newton Corner)","WB","I-90 WB after on-ramps (Beacon Park)","I-90 WB after on-ramp (Newton Corner)",2.6
10358,"Kneeland St before ramp (93 SB) TO I-90 WB after on-ramps (Beacon Park)","SWB","Kneeland St before ramp (93 SB)","I-90 WB after on-ramps (Beacon Park)",4.2
10359,"93 NB Viaduct before Ramp TO I-90 WB after on-ramps (Beacon Park)","NWB","93 NB Viaduct before Ramp","I-90 WB after on-ramps (Beacon Park)",5.4
